Date,Actual,Holiday
2012-10-02,611.678,
2012-10-03,672.46,
2012-10-04,600.348,
2012-10-05,623.869,
2012-10-06,100.424,
2012-10-07,0,
2012-10-08,795.695,
2012-10-09,631.528,
2012-10-10,669.607,
2012-10-11,647.669,
2012-10-12,626.546,
2012-10-13,59.167,
2012-10-14,0,
2012-10-15,723.67,
2012-10-16,604.253,
2012-10-17,667.718,
2012-10-18,675.408,
2012-10-19,641.081,
2012-10-20,93.257,
2012-10-21,0,
2012-10-22,828.332,
2012-10-23,566.518,
2012-10-24,658.453,
2012-10-25,713.785,
2012-10-26,653.364,
2012-10-27,70.011,
2012-10-28,0,
2012-10-29,774.178,
2012-10-30,581.919,
2012-10-31,0,
2012-11-01,760.639,
2012-11-02,613.428,
2012-11-03,78.34,
2012-11-04,0,
2012-11-05,820.017,
2012-11-06,582.667,
2012-11-07,671.718,
2012-11-08,641.945,
2012-11-09,587.382,
2012-11-10,82.317,
2012-11-11,0,
2012-11-12,776.188,
2012-11-13,621.84,
2012-11-14,709.281,
2012-11-15,730.676,
2012-11-16,665.381,
2012-11-17,73.482,
2012-11-18,0,
2012-11-19,760.042,
2012-11-20,694.37,
2012-11-21,668.727,
2012-11-22,710.072,
2012-11-23,682.698,
2012-11-24,74.91,
2012-11-25,0,
2012-11-26,610.383,
2012-11-27,748.991,
2012-11-28,791.664,
2012-11-29,867.655,
2012-11-30,0,
2012-12-01,106.231,
2012-12-02,0,
2012-12-03,881.763,
2012-12-04,715.799,
2012-12-05,672.406,
2012-12-06,682.781,
2012-12-07,580.579,
2012-12-08,81.231,
2012-12-09,0,
2012-12-10,895.346,
2012-12-11,677.899,
2012-12-12,702.126,
2012-12-13,746.069,
2012-12-14,733.773,
2012-12-15,84.184,
2012-12-16,1.718,
2012-12-17,904.085,
2012-12-18,695.104,
2012-12-19,778.363,
2012-12-20,751.14,
2012-12-21,856.265,
2012-12-22,113.107,
2012-12-23,0,
2012-12-24,586.22,
2012-12-25,0,
2012-12-26,0,
2012-12-27,818.951,
2012-12-28,874.367,
2012-12-29,126.5,
2012-12-30,0,
2012-12-31,0,
2013-01-01,0,
2013-01-02,820.18,
2013-01-03,686.96,
2013-01-04,618.413,
2013-01-05,85.69,
2013-01-06,0,
2013-01-07,867.941,
2013-01-08,755.263,
2013-01-09,802.636,
2013-01-10,738.382,
2013-01-11,746.301,
2013-01-12,96.406,
2013-01-13,0,
2013-01-14,854.466,
2013-01-15,703.104,
2013-01-16,762.746,
2013-01-17,757.94,
2013-01-18,692.153,
2013-01-19,93.09,
2013-01-20,0,
2013-01-21,889.27,
